text,label
"Congratulations! You've won a free gift card, click here to claim your prize!",1
"Reminder: Meeting scheduled for 3 PM today. Please attend.",0
"Exclusive offer! Get 50% off your next purchase, limited time!",1
"Your invoice is attached for your recent purchase.",0
"Free vacation voucher! Claim now before it's too late!",1
"Hello, just wanted to confirm our lunch meeting tomorrow at noon.",0
"Act now! Final chance to get your prize before it expires.",1
"Hi, hope you're doing well! Let me know if you need any help with the project.",0
"Important: Your account has been compromised, click here to secure it.",1
"Just checking in, let me know if you need anything for the event.",0
